Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1986,"9,034","9,596","10,558","9,002","9,239","8,951","9,668","10,188","9,896","10,649","8,917","8,196"
1987,"10,767","12,220","14,463","12,944","11,001","11,000","11,876","13,021","13,494","14,041","11,312","10,362"
1988,"12,533","14,343","14,676","12,253","11,840","12,018","11,819","12,453","12,309","13,005","11,815","10,496"
1989,"13,996","15,158","15,586","14,615","14,792","14,373","14,573","14,385","15,607","15,978","14,436","12,794"
1990,"15,771","16,477","16,420","15,444","16,118","15,158","15,214","16,257","15,287","15,212","13,488","12,300"
1991,"15,794","17,113","17,536","19,514","16,716","15,983","16,878","17,893","16,697","18,546","15,486","15,253"
1992,"18,698","21,100","22,425","19,923","19,454","18,874","19,676","19,559","19,500","19,615","16,814","15,698"
1993,"20,273","20,774","21,309","19,377","19,211","19,103","20,086","19,758","19,162","19,371","17,709","17,342"
1994,"18,772","19,363","20,001","17,112","18,027","17,173","18,024","18,983","17,983","19,151","16,427","15,461"
1995,"19,191","20,008","21,702","18,649","19,169","18,631","18,157","20,187","18,660","19,920","16,680","16,018"
1996,"20,322","20,613","22,704","20,276","20,669","18,074","18,719","20,217","19,642","20,842","18,204","16,898"
1997,"20,746","23,058","24,624","22,154","22,444","21,471","21,866","22,548","21,518","23,408","19,645","18,278"
1998,"23,576","26,650","26,207","23,195","22,960","23,002","22,973","24,089","22,805","23,241","21,581","21,119"
1999,"23,107","25,780","28,544","23,488","23,964","23,720","25,069","24,618","24,430","25,229","22,344","22,372"
2000,"25,412","25,354","29,161","24,924","24,763","25,342","24,911","25,847","23,743","25,036","21,911","20,752"
2001,"24,507","25,968","28,752","25,167","24,728","23,690","24,816","26,004","24,210","25,083","21,807","21,635"
2002,"27,173","29,308","28,645","25,023","27,261","24,670","26,441","27,961","26,498","27,800","23,939","22,930"
2003,"27,584","27,586","30,485","26,135","27,370","25,487","26,427","27,627","26,853","27,875","23,416","22,482"
2004,"27,140","28,526","28,845","25,033","24,764","24,896","24,623","26,538","24,674","25,863","23,156","22,721"
2005,"26,204","26,526","27,473","24,536","25,764","25,154","23,729","25,336","24,649","25,904","22,868","21,825"
2006,"27,357","27,349","29,367","24,050","23,173","21,740","22,056","23,744","22,189","22,458","19,469","21,056"
2007,"22,842","22,943","23,445","19,176","22,058","19,451","20,378","21,778","20,431","22,486","18,889","18,574"
2008,"24,658","24,997","23,987","21,199","21,205","21,553","21,166","20,720","18,067","21,121","16,617","15,917"
2009,"19,262","20,658","22,660","20,147","18,818","19,017","19,451","18,502","18,893","19,480","15,743","16,554"
2010,"19,465","22,617","22,438","18,511","19,142","19,063","18,006","20,386","20,280","18,894","15,941","16,851"
2011,"18,204","15,564","17,984","13,979","12,591","12,408","12,779","14,233","13,410","12,893","11,843","11,321"
2012,"13,427","14,447","14,717","11,998","13,379","12,463","13,276","14,442","13,422","13,795","13,352","12,716"
