,Year,Month,Value,Date
0,1986,Jan,"9,034",1986-01-01
27,1986,Feb,"9,596",1986-02-01
54,1986,Mar,"10,558",1986-03-01
81,1986,Apr,"9,002",1986-04-01
108,1986,May,"9,239",1986-05-01
135,1986,Jun,"8,951",1986-06-01
162,1986,Jul,"9,668",1986-07-01
189,1986,Aug,"10,188",1986-08-01
216,1986,Sep,"9,896",1986-09-01
243,1986,Oct,"10,649",1986-10-01
270,1986,Nov,"8,917",1986-11-01
297,1986,Dec,"8,196",1986-12-01
1,1987,Jan,"10,767",1987-01-01
28,1987,Feb,"12,220",1987-02-01
55,1987,Mar,"14,463",1987-03-01
82,1987,Apr,"12,944",1987-04-01
109,1987,May,"11,001",1987-05-01
136,1987,Jun,"11,000",1987-06-01
163,1987,Jul,"11,876",1987-07-01
190,1987,Aug,"13,021",1987-08-01
217,1987,Sep,"13,494",1987-09-01
244,1987,Oct,"14,041",1987-10-01
271,1987,Nov,"11,312",1987-11-01
298,1987,Dec,"10,362",1987-12-01
2,1988,Jan,"12,533",1988-01-01
29,1988,Feb,"14,343",1988-02-01
56,1988,Mar,"14,676",1988-03-01
83,1988,Apr,"12,253",1988-04-01
110,1988,May,"11,840",1988-05-01
137,1988,Jun,"12,018",1988-06-01
164,1988,Jul,"11,819",1988-07-01
191,1988,Aug,"12,453",1988-08-01
218,1988,Sep,"12,309",1988-09-01
245,1988,Oct,"13,005",1988-10-01
272,1988,Nov,"11,815",1988-11-01
299,1988,Dec,"10,496",1988-12-01
3,1989,Jan,"13,996",1989-01-01
30,1989,Feb,"15,158",1989-02-01
57,1989,Mar,"15,586",1989-03-01
84,1989,Apr,"14,615",1989-04-01
111,1989,May,"14,792",1989-05-01
138,1989,Jun,"14,373",1989-06-01
165,1989,Jul,"14,573",1989-07-01
192,1989,Aug,"14,385",1989-08-01
219,1989,Sep,"15,607",1989-09-01
246,1989,Oct,"15,978",1989-10-01
273,1989,Nov,"14,436",1989-11-01
300,1989,Dec,"12,794",1989-12-01
4,1990,Jan,"15,771",1990-01-01
31,1990,Feb,"16,477",1990-02-01
58,1990,Mar,"16,420",1990-03-01
85,1990,Apr,"15,444",1990-04-01
112,1990,May,"16,118",1990-05-01
139,1990,Jun,"15,158",1990-06-01
166,1990,Jul,"15,214",1990-07-01
193,1990,Aug,"16,257",1990-08-01
220,1990,Sep,"15,287",1990-09-01
247,1990,Oct,"15,212",1990-10-01
274,1990,Nov,"13,488",1990-11-01
301,1990,Dec,"12,300",1990-12-01
5,1991,Jan,"15,794",1991-01-01
32,1991,Feb,"17,113",1991-02-01
59,1991,Mar,"17,536",1991-03-01
86,1991,Apr,"19,514",1991-04-01
113,1991,May,"16,716",1991-05-01
140,1991,Jun,"15,983",1991-06-01
167,1991,Jul,"16,878",1991-07-01
194,1991,Aug,"17,893",1991-08-01
221,1991,Sep,"16,697",1991-09-01
248,1991,Oct,"18,546",1991-10-01
275,1991,Nov,"15,486",1991-11-01
302,1991,Dec,"15,253",1991-12-01
6,1992,Jan,"18,698",1992-01-01
33,1992,Feb,"21,100",1992-02-01
60,1992,Mar,"22,425",1992-03-01
87,1992,Apr,"19,923",1992-04-01
114,1992,May,"19,454",1992-05-01
141,1992,Jun,"18,874",1992-06-01
168,1992,Jul,"19,676",1992-07-01
195,1992,Aug,"19,559",1992-08-01
222,1992,Sep,"19,500",1992-09-01
249,1992,Oct,"19,615",1992-10-01
276,1992,Nov,"16,814",1992-11-01
303,1992,Dec,"15,698",1992-12-01
7,1993,Jan,"20,273",1993-01-01
34,1993,Feb,"20,774",1993-02-01
61,1993,Mar,"21,309",1993-03-01
88,1993,Apr,"19,377",1993-04-01
115,1993,May,"19,211",1993-05-01
142,1993,Jun,"19,103",1993-06-01
169,1993,Jul,"20,086",1993-07-01
196,1993,Aug,"19,758",1993-08-01
223,1993,Sep,"19,162",1993-09-01
250,1993,Oct,"19,371",1993-10-01
277,1993,Nov,"17,709",1993-11-01
304,1993,Dec,"17,342",1993-12-01
8,1994,Jan,"18,772",1994-01-01
35,1994,Feb,"19,363",1994-02-01
62,1994,Mar,"20,001",1994-03-01
89,1994,Apr,"17,112",1994-04-01
116,1994,May,"18,027",1994-05-01
143,1994,Jun,"17,173",1994-06-01
170,1994,Jul,"18,024",1994-07-01
197,1994,Aug,"18,983",1994-08-01
224,1994,Sep,"17,983",1994-09-01
251,1994,Oct,"19,151",1994-10-01
278,1994,Nov,"16,427",1994-11-01
305,1994,Dec,"15,461",1994-12-01
9,1995,Jan,"19,191",1995-01-01
36,1995,Feb,"20,008",1995-02-01
63,1995,Mar,"21,702",1995-03-01
90,1995,Apr,"18,649",1995-04-01
117,1995,May,"19,169",1995-05-01
144,1995,Jun,"18,631",1995-06-01
171,1995,Jul,"18,157",1995-07-01
198,1995,Aug,"20,187",1995-08-01
225,1995,Sep,"18,660",1995-09-01
252,1995,Oct,"19,920",1995-10-01
279,1995,Nov,"16,680",1995-11-01
306,1995,Dec,"16,018",1995-12-01
10,1996,Jan,"20,322",1996-01-01
37,1996,Feb,"20,613",1996-02-01
64,1996,Mar,"22,704",1996-03-01
91,1996,Apr,"20,276",1996-04-01
118,1996,May,"20,669",1996-05-01
145,1996,Jun,"18,074",1996-06-01
172,1996,Jul,"18,719",1996-07-01
199,1996,Aug,"20,217",1996-08-01
226,1996,Sep,"19,642",1996-09-01
253,1996,Oct,"20,842",1996-10-01
280,1996,Nov,"18,204",1996-11-01
307,1996,Dec,"16,898",1996-12-01
11,1997,Jan,"20,746",1997-01-01
38,1997,Feb,"23,058",1997-02-01
65,1997,Mar,"24,624",1997-03-01
92,1997,Apr,"22,154",1997-04-01
119,1997,May,"22,444",1997-05-01
146,1997,Jun,"21,471",1997-06-01
173,1997,Jul,"21,866",1997-07-01
200,1997,Aug,"22,548",1997-08-01
227,1997,Sep,"21,518",1997-09-01
254,1997,Oct,"23,408",1997-10-01
281,1997,Nov,"19,645",1997-11-01
308,1997,Dec,"18,278",1997-12-01
12,1998,Jan,"23,576",1998-01-01
39,1998,Feb,"26,650",1998-02-01
66,1998,Mar,"26,207",1998-03-01
93,1998,Apr,"23,195",1998-04-01
120,1998,May,"22,960",1998-05-01
147,1998,Jun,"23,002",1998-06-01
174,1998,Jul,"22,973",1998-07-01
201,1998,Aug,"24,089",1998-08-01
228,1998,Sep,"22,805",1998-09-01
255,1998,Oct,"23,241",1998-10-01
282,1998,Nov,"21,581",1998-11-01
309,1998,Dec,"21,119",1998-12-01
13,1999,Jan,"23,107",1999-01-01
40,1999,Feb,"25,780",1999-02-01
67,1999,Mar,"28,544",1999-03-01
94,1999,Apr,"23,488",1999-04-01
121,1999,May,"23,964",1999-05-01
148,1999,Jun,"23,720",1999-06-01
175,1999,Jul,"25,069",1999-07-01
202,1999,Aug,"24,618",1999-08-01
229,1999,Sep,"24,430",1999-09-01
256,1999,Oct,"25,229",1999-10-01
283,1999,Nov,"22,344",1999-11-01
310,1999,Dec,"22,372",1999-12-01
14,2000,Jan,"25,412",2000-01-01
41,2000,Feb,"25,354",2000-02-01
68,2000,Mar,"29,161",2000-03-01
95,2000,Apr,"24,924",2000-04-01
122,2000,May,"24,763",2000-05-01
149,2000,Jun,"25,342",2000-06-01
176,2000,Jul,"24,911",2000-07-01
203,2000,Aug,"25,847",2000-08-01
230,2000,Sep,"23,743",2000-09-01
257,2000,Oct,"25,036",2000-10-01
284,2000,Nov,"21,911",2000-11-01
311,2000,Dec,"20,752",2000-12-01
15,2001,Jan,"24,507",2001-01-01
42,2001,Feb,"25,968",2001-02-01
69,2001,Mar,"28,752",2001-03-01
96,2001,Apr,"25,167",2001-04-01
123,2001,May,"24,728",2001-05-01
150,2001,Jun,"23,690",2001-06-01
177,2001,Jul,"24,816",2001-07-01
204,2001,Aug,"26,004",2001-08-01
231,2001,Sep,"24,210",2001-09-01
258,2001,Oct,"25,083",2001-10-01
285,2001,Nov,"21,807",2001-11-01
312,2001,Dec,"21,635",2001-12-01
16,2002,Jan,"27,173",2002-01-01
43,2002,Feb,"29,308",2002-02-01
70,2002,Mar,"28,645",2002-03-01
97,2002,Apr,"25,023",2002-04-01
124,2002,May,"27,261",2002-05-01
151,2002,Jun,"24,670",2002-06-01
178,2002,Jul,"26,441",2002-07-01
205,2002,Aug,"27,961",2002-08-01
232,2002,Sep,"26,498",2002-09-01
259,2002,Oct,"27,800",2002-10-01
286,2002,Nov,"23,939",2002-11-01
313,2002,Dec,"22,930",2002-12-01
17,2003,Jan,"27,584",2003-01-01
44,2003,Feb,"27,586",2003-02-01
71,2003,Mar,"30,485",2003-03-01
98,2003,Apr,"26,135",2003-04-01
125,2003,May,"27,370",2003-05-01
152,2003,Jun,"25,487",2003-06-01
179,2003,Jul,"26,427",2003-07-01
206,2003,Aug,"27,627",2003-08-01
233,2003,Sep,"26,853",2003-09-01
260,2003,Oct,"27,875",2003-10-01
287,2003,Nov,"23,416",2003-11-01
314,2003,Dec,"22,482",2003-12-01
18,2004,Jan,"27,140",2004-01-01
45,2004,Feb,"28,526",2004-02-01
72,2004,Mar,"28,845",2004-03-01
99,2004,Apr,"25,033",2004-04-01
126,2004,May,"24,764",2004-05-01
153,2004,Jun,"24,896",2004-06-01
180,2004,Jul,"24,623",2004-07-01
207,2004,Aug,"26,538",2004-08-01
234,2004,Sep,"24,674",2004-09-01
261,2004,Oct,"25,863",2004-10-01
288,2004,Nov,"23,156",2004-11-01
315,2004,Dec,"22,721",2004-12-01
19,2005,Jan,"26,204",2005-01-01
46,2005,Feb,"26,526",2005-02-01
73,2005,Mar,"27,473",2005-03-01
100,2005,Apr,"24,536",2005-04-01
127,2005,May,"25,764",2005-05-01
154,2005,Jun,"25,154",2005-06-01
181,2005,Jul,"23,729",2005-07-01
208,2005,Aug,"25,336",2005-08-01
235,2005,Sep,"24,649",2005-09-01
262,2005,Oct,"25,904",2005-10-01
289,2005,Nov,"22,868",2005-11-01
316,2005,Dec,"21,825",2005-12-01
20,2006,Jan,"27,357",2006-01-01
47,2006,Feb,"27,349",2006-02-01
74,2006,Mar,"29,367",2006-03-01
101,2006,Apr,"24,050",2006-04-01
128,2006,May,"23,173",2006-05-01
155,2006,Jun,"21,740",2006-06-01
182,2006,Jul,"22,056",2006-07-01
209,2006,Aug,"23,744",2006-08-01
236,2006,Sep,"22,189",2006-09-01
263,2006,Oct,"22,458",2006-10-01
290,2006,Nov,"19,469",2006-11-01
317,2006,Dec,"21,056",2006-12-01
21,2007,Jan,"22,842",2007-01-01
48,2007,Feb,"22,943",2007-02-01
75,2007,Mar,"23,445",2007-03-01
102,2007,Apr,"19,176",2007-04-01
129,2007,May,"22,058",2007-05-01
156,2007,Jun,"19,451",2007-06-01
183,2007,Jul,"20,378",2007-07-01
210,2007,Aug,"21,778",2007-08-01
237,2007,Sep,"20,431",2007-09-01
264,2007,Oct,"22,486",2007-10-01
291,2007,Nov,"18,889",2007-11-01
318,2007,Dec,"18,574",2007-12-01
22,2008,Jan,"24,658",2008-01-01
49,2008,Feb,"24,997",2008-02-01
76,2008,Mar,"23,987",2008-03-01
103,2008,Apr,"21,199",2008-04-01
130,2008,May,"21,205",2008-05-01
157,2008,Jun,"21,553",2008-06-01
184,2008,Jul,"21,166",2008-07-01
211,2008,Aug,"20,720",2008-08-01
238,2008,Sep,"18,067",2008-09-01
265,2008,Oct,"21,121",2008-10-01
292,2008,Nov,"16,617",2008-11-01
319,2008,Dec,"15,917",2008-12-01
23,2009,Jan,"19,262",2009-01-01
50,2009,Feb,"20,658",2009-02-01
77,2009,Mar,"22,660",2009-03-01
104,2009,Apr,"20,147",2009-04-01
131,2009,May,"18,818",2009-05-01
158,2009,Jun,"19,017",2009-06-01
185,2009,Jul,"19,451",2009-07-01
212,2009,Aug,"18,502",2009-08-01
239,2009,Sep,"18,893",2009-09-01
266,2009,Oct,"19,480",2009-10-01
293,2009,Nov,"15,743",2009-11-01
320,2009,Dec,"16,554",2009-12-01
24,2010,Jan,"19,465",2010-01-01
51,2010,Feb,"22,617",2010-02-01
78,2010,Mar,"22,438",2010-03-01
105,2010,Apr,"18,511",2010-04-01
132,2010,May,"19,142",2010-05-01
159,2010,Jun,"19,063",2010-06-01
186,2010,Jul,"18,006",2010-07-01
213,2010,Aug,"20,386",2010-08-01
240,2010,Sep,"20,280",2010-09-01
267,2010,Oct,"18,894",2010-10-01
294,2010,Nov,"15,941",2010-11-01
321,2010,Dec,"16,851",2010-12-01
25,2011,Jan,"18,204",2011-01-01
52,2011,Feb,"15,564",2011-02-01
79,2011,Mar,"17,984",2011-03-01
106,2011,Apr,"13,979",2011-04-01
133,2011,May,"12,591",2011-05-01
160,2011,Jun,"12,408",2011-06-01
187,2011,Jul,"12,779",2011-07-01
214,2011,Aug,"14,233",2011-08-01
